Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 4, 1999",$288.25 oz,$287.15 oz
"January 5, 1999",$287.00 oz,$287.15 oz
"January 6, 1999",$287.15 oz,$287.65 oz
"January 7, 1999",$288.60 oz,$289.95 oz
"January 8, 1999",$290.90 oz,$290.90 oz
"January 11, 1999",$291.25 oz,$291.15 oz
"January 12, 1999",$291.40 oz,$289.80 oz
"January 13, 1999",$288.20 oz,$285.45 oz
"January 14, 1999",$285.70 oz,$285.65 oz
"January 15, 1999",$285.85 oz,$285.95 oz
"January 18, 1999",$286.95 oz,$286.75 oz
"January 19, 1999",$287.30 oz,$286.50 oz
"January 20, 1999",$285.90 oz,$286.00 oz
"January 21, 1999",$287.10 oz,$287.75 oz
"January 22, 1999",$287.75 oz,$287.00 oz
"January 25, 1999",$286.30 oz,$287.70 oz
"January 26, 1999",$287.30 oz,$287.10 oz
"January 27, 1999",$285.80 oz,$283.80 oz
"January 28, 1999",$282.30 oz,$283.55 oz
"January 29, 1999",$285.65 oz,$285.40 oz
"February 1, 1999",$287.10 oz,$286.90 oz
"February 2, 1999",$289.75 oz,$288.55 oz
"February 3, 1999",$287.55 oz,$286.85 oz
"February 4, 1999",$287.25 oz,$287.25 oz
"February 5, 1999",$289.75 oz,$289.40 oz
"February 8, 1999",$288.85 oz,$288.85 oz
"February 9, 1999",$287.65 oz,$287.00 oz
"February 10, 1999",$287.10 oz,$288.20 oz
"February 11, 1999",$287.50 oz,$287.30 oz
"February 12, 1999",$287.40 oz,$289.15 oz
"February 15, 1999",$290.05 oz,$289.20 oz
"February 16, 1999",$288.05 oz,$285.30 oz
"February 17, 1999",$285.35 oz,$285.75 oz
"February 18, 1999",$285.65 oz,$285.70 oz
"February 19, 1999",$287.05 oz,$286.35 oz
"February 22, 1999",$287.20 oz,$287.20 oz
"February 23, 1999",$286.65 oz,$286.70 oz
"February 24, 1999",$286.10 oz,$287.40 oz
"February 25, 1999",$287.10 oz,$286.45 oz
"February 26, 1999",$286.80 oz,$287.05 oz
"March 1, 1999",$287.05 oz,$286.70 oz
"March 2, 1999",$286.40 oz,$288.25 oz
"March 3, 1999",$286.65 oz,$285.95 oz
"March 4, 1999",$286.70 oz,$287.70 oz
"March 5, 1999",$287.90 oz,$287.90 oz
